match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
392212,1,Deccan Chargers,Mumbai Indians,0,1,AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,2,AC Gilchrist,SL Malinga,HH Gibbs,0,1,1,wides,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,3,AC Gilchrist,SL Malinga,HH Gibbs,4,0,4,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,4,AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,5,AC Gilchrist,SL Malinga,HH Gibbs,1,0,1,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,6,HH Gibbs,SL Malinga,AC Gilchrist,0,1,1,legbyes,0,,,
392212,1,Deccan Chargers,Mumbai Indians,0,7,AC Gilchrist,SL Malinga,HH Gibbs,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,1,HH Gibbs,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,2,HH Gibbs,DS Kulkarni,AC Gilchrist,0,1,1,wides,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,3,HH Gibbs,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,4,HH Gibbs,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,5,HH Gibbs,DS Kulkarni,AC Gilchrist,0,0,0,,1,HH Gibbs,caught,SR Tendulkar
392212,1,Deccan Chargers,Mumbai Indians,1,6,TL Suman,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,1,7,TL Suman,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,1,AC Gilchrist,SL Malinga,TL Suman,0,1,1,wides,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,2,AC Gilchrist,SL Malinga,TL Suman,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,3,AC Gilchrist,SL Malinga,TL Suman,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,4,AC Gilchrist,SL Malinga,TL Suman,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,5,AC Gilchrist,SL Malinga,TL Suman,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,6,AC Gilchrist,SL Malinga,TL Suman,4,0,4,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,2,7,AC Gilchrist,SL Malinga,TL Suman,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,1,TL Suman,DS Kulkarni,AC Gilchrist,2,0,2,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,2,TL Suman,DS Kulkarni,AC Gilchrist,4,0,4,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,3,TL Suman,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,4,TL Suman,DS Kulkarni,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,5,TL Suman,DS Kulkarni,AC Gilchrist,1,0,1,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,3,6,AC Gilchrist,DS Kulkarni,TL Suman,1,0,1,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,1,AC Gilchrist,Harbhajan Singh,TL Suman,1,0,1,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,2,TL Suman,Harbhajan Singh,AC Gilchrist,6,0,6,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,3,TL Suman,Harbhajan Singh,AC Gilchrist,1,0,1,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,4,AC Gilchrist,Harbhajan Singh,TL Suman,0,1,1,legbyes,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,5,TL Suman,Harbhajan Singh,AC Gilchrist,6,0,6,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,4,6,TL Suman,Harbhajan Singh,AC Gilchrist,0,0,0,,0,,,
392212,1,Deccan Chargers,Mumbai Indians,5,1,AC Gilchrist,DJ Bravo,TL Suman,1,0,1,,0,,,
