match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
829709,1,Rajasthan Royals,Kings XI Punjab,0,1,AM Rahane,Sandeep Sharma,SV Samson,0,4,4,legbyes,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,0,2,AM Rahane,Sandeep Sharma,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,0,3,AM Rahane,Sandeep Sharma,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,0,4,AM Rahane,Sandeep Sharma,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,0,5,AM Rahane,Sandeep Sharma,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,0,6,AM Rahane,Sandeep Sharma,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,1,1,SV Samson,Anureet Singh,AM Rahane,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,1,2,AM Rahane,Anureet Singh,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,1,3,AM Rahane,Anureet Singh,SV Samson,0,0,0,,1,AM Rahane,caught,AR Patel
829709,1,Rajasthan Royals,Kings XI Punjab,1,4,SV Samson,Anureet Singh,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,1,5,SV Samson,Anureet Singh,SPD Smith,3,0,3,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,1,6,SPD Smith,Anureet Singh,SV Samson,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,2,1,SV Samson,Sandeep Sharma,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,2,2,SV Samson,Sandeep Sharma,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,2,3,SPD Smith,Sandeep Sharma,SV Samson,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,2,4,SPD Smith,Sandeep Sharma,SV Samson,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,2,5,SV Samson,Sandeep Sharma,SPD Smith,0,0,0,,1,SV Samson,lbw,
829709,1,Rajasthan Royals,Kings XI Punjab,2,6,KK Nair,Sandeep Sharma,SPD Smith,0,1,1,legbyes,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,1,KK Nair,Anureet Singh,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,2,KK Nair,Anureet Singh,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,3,KK Nair,Anureet Singh,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,4,KK Nair,Anureet Singh,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,5,SPD Smith,Anureet Singh,KK Nair,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,3,6,KK Nair,Anureet Singh,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,1,SPD Smith,Sandeep Sharma,KK Nair,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,2,KK Nair,Sandeep Sharma,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,3,KK Nair,Sandeep Sharma,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,4,SPD Smith,Sandeep Sharma,KK Nair,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,5,SPD Smith,Sandeep Sharma,KK Nair,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,4,6,KK Nair,Sandeep Sharma,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,1,SPD Smith,AR Patel,KK Nair,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,2,SPD Smith,AR Patel,KK Nair,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,3,SPD Smith,AR Patel,KK Nair,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,4,SPD Smith,AR Patel,KK Nair,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,5,KK Nair,AR Patel,SPD Smith,6,0,6,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,5,6,KK Nair,AR Patel,SPD Smith,0,0,0,,1,KK Nair,bowled,
829709,1,Rajasthan Royals,Kings XI Punjab,6,1,SPD Smith,Sandeep Sharma,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,2,STR Binny,Sandeep Sharma,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,3,STR Binny,Sandeep Sharma,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,4,SPD Smith,Sandeep Sharma,STR Binny,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,5,SPD Smith,Sandeep Sharma,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,6,STR Binny,Sandeep Sharma,SPD Smith,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,6,7,STR Binny,Sandeep Sharma,SPD Smith,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,1,SPD Smith,Karanveer Singh,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,2,STR Binny,Karanveer Singh,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,3,SPD Smith,Karanveer Singh,STR Binny,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,4,SPD Smith,Karanveer Singh,STR Binny,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,5,SPD Smith,Karanveer Singh,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,7,6,STR Binny,Karanveer Singh,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,1,STR Binny,MG Johnson,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,2,STR Binny,MG Johnson,SPD Smith,0,5,5,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,3,STR Binny,MG Johnson,SPD Smith,0,2,2,legbyes,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,4,STR Binny,MG Johnson,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,5,STR Binny,MG Johnson,SPD Smith,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,6,STR Binny,MG Johnson,SPD Smith,0,1,1,legbyes,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,8,7,SPD Smith,MG Johnson,STR Binny,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,1,STR Binny,Karanveer Singh,SPD Smith,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,2,STR Binny,Karanveer Singh,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,3,SPD Smith,Karanveer Singh,STR Binny,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,4,SPD Smith,Karanveer Singh,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,5,STR Binny,Karanveer Singh,SPD Smith,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,9,6,SPD Smith,Karanveer Singh,STR Binny,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,1,SPD Smith,MG Johnson,STR Binny,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,2,SPD Smith,MG Johnson,STR Binny,0,0,0,,1,SPD Smith,caught,Karanveer Singh
829709,1,Rajasthan Royals,Kings XI Punjab,10,3,STR Binny,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,4,STR Binny,MG Johnson,DJ Hooda,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,5,STR Binny,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,6,STR Binny,MG Johnson,DJ Hooda,0,0,0,,1,STR Binny,caught,WP Saha
829709,1,Rajasthan Royals,Kings XI Punjab,10,7,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,10,8,JP Faulkner,MG Johnson,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,1,JP Faulkner,Karanveer Singh,DJ Hooda,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,2,JP Faulkner,Karanveer Singh,DJ Hooda,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,3,JP Faulkner,Karanveer Singh,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,4,DJ Hooda,Karanveer Singh,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,5,JP Faulkner,Karanveer Singh,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,11,6,DJ Hooda,Karanveer Singh,JP Faulkner,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,1,JP Faulkner,AR Patel,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,2,JP Faulkner,AR Patel,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,3,JP Faulkner,AR Patel,DJ Hooda,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,4,JP Faulkner,AR Patel,DJ Hooda,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,5,JP Faulkner,AR Patel,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,6,DJ Hooda,AR Patel,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,12,7,JP Faulkner,AR Patel,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,1,DJ Hooda,Karanveer Singh,JP Faulkner,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,2,DJ Hooda,Karanveer Singh,JP Faulkner,6,0,6,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,3,DJ Hooda,Karanveer Singh,JP Faulkner,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,4,DJ Hooda,Karanveer Singh,JP Faulkner,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,5,DJ Hooda,Karanveer Singh,JP Faulkner,6,0,6,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,13,6,DJ Hooda,Karanveer Singh,JP Faulkner,2,0,2,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,1,JP Faulkner,MG Johnson,DJ Hooda,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,2,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,3,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,4,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,5,JP Faulkner,MG Johnson,DJ Hooda,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,6,JP Faulkner,MG Johnson,DJ Hooda,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,7,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,14,8,JP Faulkner,MG Johnson,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,1,DJ Hooda,AR Patel,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,2,JP Faulkner,AR Patel,DJ Hooda,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,3,JP Faulkner,AR Patel,DJ Hooda,0,1,1,wides,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,4,JP Faulkner,AR Patel,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,5,DJ Hooda,AR Patel,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,6,JP Faulkner,AR Patel,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,15,7,DJ Hooda,AR Patel,JP Faulkner,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,16,1,JP Faulkner,Anureet Singh,DJ Hooda,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,16,2,DJ Hooda,Anureet Singh,JP Faulkner,6,0,6,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,16,3,DJ Hooda,Anureet Singh,JP Faulkner,4,0,4,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,16,4,DJ Hooda,Anureet Singh,JP Faulkner,0,0,0,,1,DJ Hooda,bowled,
829709,1,Rajasthan Royals,Kings XI Punjab,16,5,CH Morris,Anureet Singh,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,16,6,JP Faulkner,Anureet Singh,CH Morris,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,1,JP Faulkner,AR Patel,CH Morris,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,2,CH Morris,AR Patel,JP Faulkner,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,3,JP Faulkner,AR Patel,CH Morris,1,0,1,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,4,CH Morris,AR Patel,JP Faulkner,0,1,1,legbyes,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,5,JP Faulkner,AR Patel,CH Morris,0,0,0,,0,,,
829709,1,Rajasthan Royals,Kings XI Punjab,17,6,JP Faulkner,AR Patel,CH Morris,6,0,6,,0,,,
