match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,1,JJ Roy,TA Boult,Rahmanullah Gurbaz,2,0,2,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,2,JJ Roy,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,3,JJ Roy,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,4,JJ Roy,TA Boult,Rahmanullah Gurbaz,4,0,4,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,5,JJ Roy,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,0,6,JJ Roy,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,1,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,2,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,3,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,4,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,4,0,4,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,5,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,1,6,Rahmanullah Gurbaz,Sandeep Sharma,JJ Roy,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,1,JJ Roy,TA Boult,Rahmanullah Gurbaz,4,0,4,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,2,JJ Roy,TA Boult,Rahmanullah Gurbaz,0,0,0,,1,JJ Roy,caught,SO Hetmyer
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,3,VR Iyer,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,4,VR Iyer,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,5,VR Iyer,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,2,6,VR Iyer,TA Boult,Rahmanullah Gurbaz,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,1,Rahmanullah Gurbaz,Sandeep Sharma,VR Iyer,6,0,6,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,2,Rahmanullah Gurbaz,Sandeep Sharma,VR Iyer,6,0,6,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,3,Rahmanullah Gurbaz,Sandeep Sharma,VR Iyer,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,4,Rahmanullah Gurbaz,Sandeep Sharma,VR Iyer,1,0,1,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,5,VR Iyer,Sandeep Sharma,Rahmanullah Gurbaz,1,0,1,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,3,6,Rahmanullah Gurbaz,Sandeep Sharma,VR Iyer,1,0,1,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,1,Rahmanullah Gurbaz,TA Boult,VR Iyer,0,0,0,,1,Rahmanullah Gurbaz,caught,Sandeep Sharma
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,2,N Rana,TA Boult,VR Iyer,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,3,N Rana,TA Boult,VR Iyer,2,0,2,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,4,N Rana,TA Boult,VR Iyer,3,0,3,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,5,VR Iyer,TA Boult,N Rana,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,4,6,VR Iyer,TA Boult,N Rana,0,1,1,legbyes,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,5,1,VR Iyer,R Ashwin,N Rana,0,0,0,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,5,2,VR Iyer,R Ashwin,N Rana,1,0,1,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,5,3,N Rana,R Ashwin,VR Iyer,1,0,1,,0,,,
1359530,1,Kolkata Knight Riders,Rajasthan Royals,5,4,VR Iyer,R Ashwin,N Rana,0,0,0,,0,,,
