match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
598055,1,Pune Warriors,Mumbai Indians,0,1,RV Uthappa,MG Johnson,AJ Finch,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,0,2,RV Uthappa,MG Johnson,AJ Finch,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,0,3,RV Uthappa,MG Johnson,AJ Finch,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,0,4,RV Uthappa,MG Johnson,AJ Finch,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,0,5,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,0,6,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,1,RV Uthappa,AN Ahmed,AJ Finch,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,2,AJ Finch,AN Ahmed,RV Uthappa,2,0,2,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,3,AJ Finch,AN Ahmed,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,4,AJ Finch,AN Ahmed,RV Uthappa,4,0,4,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,5,AJ Finch,AN Ahmed,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,1,6,AJ Finch,AN Ahmed,RV Uthappa,4,0,4,,0,,,
598055,1,Pune Warriors,Mumbai Indians,2,1,RV Uthappa,MG Johnson,AJ Finch,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,2,2,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,2,3,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,2,4,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,2,5,AJ Finch,MG Johnson,RV Uthappa,0,0,0,,1,AJ Finch,caught,DR Smith
598055,1,Pune Warriors,Mumbai Indians,2,6,MK Pandey,MG Johnson,RV Uthappa,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,1,MK Pandey,AN Ahmed,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,2,MK Pandey,AN Ahmed,RV Uthappa,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,3,RV Uthappa,AN Ahmed,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,4,RV Uthappa,AN Ahmed,MK Pandey,2,0,2,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,5,RV Uthappa,AN Ahmed,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,3,6,MK Pandey,AN Ahmed,RV Uthappa,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,1,RV Uthappa,SL Malinga,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,2,MK Pandey,SL Malinga,RV Uthappa,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,3,RV Uthappa,SL Malinga,MK Pandey,0,1,1,noballs,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,4,RV Uthappa,SL Malinga,MK Pandey,4,0,4,,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,5,RV Uthappa,SL Malinga,MK Pandey,0,0,0,,1,RV Uthappa,lbw,
598055,1,Pune Warriors,Mumbai Indians,4,6,Yuvraj Singh,SL Malinga,MK Pandey,4,0,4,,0,,,
598055,1,Pune Warriors,Mumbai Indians,4,7,Yuvraj Singh,SL Malinga,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,1,MK Pandey,AN Ahmed,Yuvraj Singh,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,2,MK Pandey,AN Ahmed,Yuvraj Singh,2,0,2,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,3,MK Pandey,AN Ahmed,Yuvraj Singh,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,4,MK Pandey,AN Ahmed,Yuvraj Singh,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,5,MK Pandey,AN Ahmed,Yuvraj Singh,4,0,4,,0,,,
598055,1,Pune Warriors,Mumbai Indians,5,6,MK Pandey,AN Ahmed,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,1,MK Pandey,PP Ojha,Yuvraj Singh,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,2,MK Pandey,PP Ojha,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,3,Yuvraj Singh,PP Ojha,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,4,MK Pandey,PP Ojha,Yuvraj Singh,6,0,6,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,5,MK Pandey,PP Ojha,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,6,6,Yuvraj Singh,PP Ojha,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,1,Yuvraj Singh,Harbhajan Singh,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,2,MK Pandey,Harbhajan Singh,Yuvraj Singh,0,1,1,byes,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,3,Yuvraj Singh,Harbhajan Singh,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,4,Yuvraj Singh,Harbhajan Singh,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,5,Yuvraj Singh,Harbhajan Singh,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,7,6,MK Pandey,Harbhajan Singh,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,1,MK Pandey,PP Ojha,Yuvraj Singh,2,0,2,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,2,MK Pandey,PP Ojha,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,3,Yuvraj Singh,PP Ojha,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,4,Yuvraj Singh,PP Ojha,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,5,Yuvraj Singh,PP Ojha,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,8,6,MK Pandey,PP Ojha,Yuvraj Singh,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,9,1,Yuvraj Singh,Harbhajan Singh,MK Pandey,0,0,0,,0,,,
598055,1,Pune Warriors,Mumbai Indians,9,2,Yuvraj Singh,Harbhajan Singh,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,9,3,MK Pandey,Harbhajan Singh,Yuvraj Singh,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,9,4,Yuvraj Singh,Harbhajan Singh,MK Pandey,1,0,1,,0,,,
598055,1,Pune Warriors,Mumbai Indians,9,5,MK Pandey,Harbhajan Singh,Yuvraj Singh,1,0,1,,0,,,
